city_id,type_name,alpha_00,t_param_00,rides_badbid_cnt_00,rides_cnt_00,badbids_share_00,badbid_ratio_avg_00,rides_at_risk_00,alpha_05,t_param_05,rides_badbid_cnt_05,rides_cnt_05,badbids_share_05,badbid_ratio_avg_05,rides_at_risk_05,alpha,t_param,rides_badbid_cnt,rides_cnt,badbids_share,badbid_ratio_avg,rides_at_risk
5548,6-seater XL,0.0,0,203,1881,0.23776139248156655,1.134895193179819,0.10792131844763424,0.05,0,148,1881,0.18977396349570894,1.162591236562988,0.0786815523657629,0.1,0,109,1881,0.14009428260606793,1.193237403215801,0.057947900053163214
4515,6-seater XL,0.0,0,174,1507,0.20504364694471386,1.0872258706650055,0.1154611811546118,0.05,0,111,1507,0.13210475266731328,1.1223575871421507,0.07365627073656271,0.1,0,60,1507,0.07584869059165858,1.1573662856807185,0.039814200398142006
4515,auto_econom,0.0,0,82552,807444,0.19742358834928614,1.0839856281663331,0.10223866918324986,0.05,0,51382,807444,0.1267930326938781,1.1171701867122439,0.06363537285557884,0.1,0,27459,807444,0.07019447267546167,1.1521249985634865,0.034007311962191804
4515,order_title_comfort,0.0,0,49,481,0.1931252826775215,1.0932547311659022,0.10187110187110188,0.05,0,34,481,0.1347806422433288,1.123570404801643,0.07068607068607069,0.1,0,21,481,0.08367254635911352,1.1547160320367287,0.04365904365904366
4196,auto_econom,0.0,0,15720,364284,0.16064892871943776,1.1385403489906796,0.04315314425009059,0.05,0,8572,364284,0.11127824304585103,1.1894112829692622,0.023531091126703343,0.1,0,4501,364284,0.07571603735234025,1.2437718889188405,0.012355744419189423
4241,auto_econom,0.0,0,50166,808108,0.1391503755271743,1.0734899053882958,0.06207833606399145,0.05,0,26954,808108,0.08004716174209994,1.1100678401774975,0.03335445262266925,0.1,0,12981,808108,0.03991921768877817,1.1473262908460768,0.016063446965009626
5548,auto_econom,0.0,0,41706,1161260,0.12880926907815174,1.116289163443446,0.035914437765874996,0.05,0,26898,1161260,0.09098969523882505,1.1544501423585833,0.02316277147236622,0.1,0,15618,1161260,0.060490736128754004,1.1950706810626293,0.013449184506484337
5548,order_title_comfort,0.0,0,154,2687,0.1287788839163394,1.1272327935813278,0.05731298846296985,0.05,0,111,2687,0.09726915700063933,1.1603691484914607,0.041310011164867884,0.1,0,69,2687,0.06813407617133985,1.1963863491333757,0.025679196129512468
4180,auto_econom,0.0,0,20801,534958,0.11816233186501479,1.0764857341730438,0.03888342636244341,0.05,0,11201,534958,0.07027754169694013,1.112292699042618,0.020938092336220786,0.1,0,5266,534958,0.03600106169350839,1.1495204790057028,0.009843763435634199
4241,order_title_comfort,0.0,0,28,867,0.08706467661691543,1.0717708144378182,0.03229527104959631,0.05,0,15,867,0.049129353233830844,1.1092596856229096,0.01730103806228374,0.1,0,9,867,0.026119402985074626,1.1412674312260858,0.010380622837370242
4180,order_title_comfort,0.0,0,18,768,0.07168747482883608,1.0749219745892136,0.0234375,0.05,0,11,768,0.03946838501812324,1.1157295549789836,0.014322916666666666,0.1,0,6,768,0.020942408376963352,1.150485912783133,0.0078125
4196,moto_econom,0.0,0,219,36075,0.036661251067600806,1.1553895893430746,0.00607068607068607,0.05,0,124,36075,0.02594350224436981,1.2095384016105304,0.003437283437283437,0.1,0,66,36075,0.01853932945037021,1.2637942589391231,0.0018295218295218294
4196,auto_econom_nocomment,0.0,0,0,0,0.0,,,0.05,0,0,0,0.0,,,0.1,0,0,0,0.0,,
